local_row,local_split,local_id,ref_row,ref_id,dist
6123,train,59d6bdf49ebf9090,3853,5f5f64,1e-06
8124,train,c3184f6a8fe452e2,12318,c321b5,1e-06
4842,train,8b20669dd75f7da3,13774,8993ac,1e-06
13728,train,670af4608d5dc8fe,14255,6ca699,1e-06
256,train,677a203a7f5971d3,1120,ea907d,1e-06
3515,train,5825f951e720dd90,14400,c4b94f,1e-06
1773,train,973872e935f839db,5835,1893b0,1e-06
14008,train,517695d7da469be4,13208,21f67a,1e-06
2431,train,4851be7437eddf24,13773,faaa96,1e-06
6992,train,d87fd12ec09a1814,9491,081cd5,1e-06
11176,train,88b5c5bba1157593,2915,41a6ec,1e-06
11083,train,837bac5c1a6c982f,13366,43a4cf,1e-06
9751,train,0e175a6a6763deb3,109,1b4c03,1e-06
1502,train,0aa3816856ca7bcf,6700,ed724d,1e-06
13288,train,0cf7f62e65c8c5c3,1174,4b6707,1e-06
13298,train,f01cff49e932b78e,10880,bda09d,1e-06
2696,train,3d2f07b87dfdeef8,5300,5912c9,1e-06
10187,train,1b5aaccec9bb0f2d,12864,7e6856,1e-06
3398,train,89040b11df200317,7952,bfb9a6,1e-06
11793,train,e47f4321c9303858,4718,433a08,1e-06
3291,train,c841303b7afd296a,5566,c484a8,1e-06
4128,train,f0c19fb1408510a7,1835,f0e9f5,1e-06
11425,train,cef9144bee5bc3aa,4952,2e12ae,1e-06
2945,train,22527123dd2ac223,13928,9d9cf0,1e-06
13612,train,8a9a1d2636285f65,11782,fe7a36,1e-06
7369,train,0499f30f6623f10e,8483,97d345,1e-06
7611,train,7872555af653a4ff,12921,985ad3,1e-06
6474,train,3f2c329aecb8f277,6065,18c32c,1e-06
10929,train,03956a0ec0862c78,12004,5e798f,1e-06
2383,train,32c947c1b6953ed5,9920,91e75d,1e-06
10374,train,4fe98d98ec45ba8e,11548,87d449,1e-06
2698,train,c844163c986aa36d,6857,b3caf5,1e-06
15,train,4dfda5235ab59656,8415,7971eb,1e-06
10998,train,c297b8f7226c609c,555,0e29a8,1e-06
12669,train,d47b88860a2a92ca,12040,391fbf,1e-06
10292,train,b5ba8573ba902c48,5880,b7cb8e,1e-06
679,train,be4049ace9ff7190,1870,0f99ca,1e-06
5925,train,2b12e1950bd504d5,8210,90cac1,1e-06
11991,train,cd05a1822459dbe7,1085,8ea7e3,1e-06
14511,train,7049b9ad1c932d4c,2855,2f1a8b,1e-06
2700,train,9c2ed4fa5ca57c6f,12981,1175d5,1e-06
4524,train,329584a59b2621c5,4475,aa231d,1e-06
1074,train,712f6353c592d367,10805,17591a,1e-06
11131,train,0c140a171178d365,12243,402869,1e-06
10722,train,5723068be1ad5b83,321,b4155d,1e-06
2189,train,aa0584c8c1bbd4ba,1943,3b7ab6,1e-06
13464,train,198b35c55bac0fbf,13172,e3fef8,1e-06
13853,train,4431962eb669c5ff,2779,e302d1,1e-06
7155,train,6fdaca482b7d2645,4066,d7259e,1e-06
13867,train,ce9c27a1a913ee0e,13506,892fb9,1e-06
7158,train,13630cfd1283735c,171,cc41a4,1e-06
11364,train,3f549b9f27809a9c,5041,0a3b73,1e-06
3687,train,fcbc3b40e1c5e018,2503,f23243,1e-06
5029,train,290b4a80b37d9117,2936,16a2f9,1e-06
1553,train,8c42f8584791e071,4743,760e05,1e-06
7980,train,619fc1fc88bf8d39,14433,1d8e90,1e-06
9438,train,14edc8c9e6f83631,433,cff81b,1e-06
12321,train,1628d8c92736185c,14289,d0e889,1e-06
6146,train,467de5f89e68880d,9668,2f8486,1e-06
8246,train,3cfaa8ab18493a24,13884,653394,1e-06
12003,train,af979d4450891d64,8929,d55e4b,1e-06
13374,train,9191d48d2576f203,12327,3f63e9,1e-06
131,train,21bd54edaf9cf8b9,14505,ea717e,1e-06
13508,train,9989f04896f7031b,8820,455957,1e-06
9487,train,8424e69245d7bcb1,12876,e0a150,1e-06
10656,train,97a80032e15c663e,6828,fd49c3,1e-06
3014,train,4a8119213d4c02d1,2109,212089,1e-06
1061,train,7fd0362056705b85,1569,4a1ed9,1e-06
11711,train,42e50a26efcd0483,1090,4b6ddf,1e-06
5114,train,bc5fedc584e3c297,14566,f027ed,1e-06
7627,train,0f3c00088e4c5d8d,12903,a4391d,1e-06
3762,train,a799a8126ac3656f,9058,86f212,1e-06
11780,train,bf9060655679e041,9405,d072d6,1e-06
4742,train,d6d9aa6914708c9c,5443,d35275,1e-06
9054,train,06aa1135ec97db95,5412,e3e6e5,1e-06
8309,train,294ccc9622c6e991,5881,b106ce,1e-06
14864,train,adafe4730d462022,9069,1dd991,1e-06
11883,train,f7c6b4ff0a66c630,348,490b5a,1e-06
11285,train,a6fab731392656af,10342,b1667c,1e-06
6375,train,a6b6cce44ec4e705,4758,624ae4,1e-06
13204,train,f2f7c46f5b79759c,3887,cbaabf,1e-06
1561,train,f8b30760e0fb24d3,5465,d68174,1e-06
3947,train,01ecbd949fc2a0c3,14382,deeaad,1e-06
1527,train,fd9d00ab59f8f920,7147,0d3543,1e-06
9345,train,2520b231b2b02bba,7582,0b320a,1e-06
10586,train,2cc22b1a4b613686,3627,289f62,1e-06
13490,train,134452a66bb1313e,11215,e4e740,1e-06
5700,train,0747f103e94ec6a2,4700,f479dc,1e-06
7072,train,7a8af2587e0b4b11,5761,88185d,1e-06
13010,train,a00dcc1a26c6f2cc,1379,7029b8,1e-06
13512,train,35e0fd54a609b44c,2183,b4acf6,1e-06
13453,train,aea64bdda27806a1,3370,8858d4,1e-06
5441,train,09faecacfbfb8c9a,8991,895218,1e-06
553,train,fad4803f941fe6ab,6880,97429e,1e-06
8406,train,8e7c02746dfb025d,7295,5a2c3a,1e-06
11426,train,c67963473caef6e9,12012,24a24d,1e-06
11164,train,2e354dce075131e0,5997,e02826,1e-06
9306,train,ff890124d71dd205,1440,c95a40,1e-06
14194,train,e85c8fd60b501225,5122,cad147,1e-06
7423,train,acb4d6ca37e9479e,12346,a79999,1e-06
6387,train,c3550377a0a5ae24,8002,cddac9,1e-06
6565,train,d8e963af2ea4b12d,7636,126597,1e-06
13710,train,17027911d9e080ba,2757,2c7220,1e-06
8952,train,8e960ae6b855862b,8560,86a785,1e-06
14613,train,378864298be06d4a,5337,bb647a,1e-06
5340,train,9c3f2297d03203b0,1276,895a9c,1e-06
10799,train,0134f2fa433dfd58,13972,ba0eb1,1e-06
3108,train,3a7e708c79d03542,4322,e421dc,1e-06
4197,train,35edd955a885e7c0,7716,2a8340,1e-06
12548,train,5427e04dda1870a3,3329,863f86,1e-06
11867,train,2c80c933cf659534,1541,c1e7da,1e-06
4028,train,eccb30282a525bb2,13651,2f0159,1e-06
3463,train,640adeab6bb439f3,2230,d3f7ad,1e-06
10166,train,5e5b3b3c6f5a044b,5704,263ed6,1e-06
12963,train,e00513625388cf2e,9030,cbede8,1e-06
10133,train,c6b40054724f8140,464,fdae7b,1e-06
1777,train,a4b10956fa0ce68e,13348,709135,1e-06
9301,train,20036eb0ddbc6c68,4789,da3ba2,1e-06
6971,train,5ff943ff05638f7e,5011,4c7bb4,1e-06
14028,train,041d1742dc47afde,9761,f235a1,1e-06
8300,train,826e6bb3a35f37e1,828,376577,1e-06
14869,train,ccaa1516dc3837f3,9487,e088f5,1e-06
6778,train,a51de672c3d46148,7973,cec98b,1e-06
13054,train,65bc3a0726f3743c,5651,d05756,1e-06
6037,train,d7fa197874808376,5950,44dd33,1e-06
5435,train,6942fcaaaee1b34b,11440,9cb29f,1e-06
7236,train,8140da77dcdda4cc,4905,96dedb,1e-06
9747,train,02f817df31498cfb,372,399377,1e-06
2385,train,470c5bee69a38b72,1383,e3bce2,1e-06
10636,train,c46fe27689d2fb7c,13572,f561d5,1e-06
3042,train,60c8c151f8a3f1de,12716,5227a7,1e-06
11753,train,aaf24ba3384d9eb0,4183,6a8b36,1e-06
2235,train,fa6106e376103f0e,7191,b9ba31,1e-06
12785,train,2958a7a7e7574bfd,8996,bb3df1,1e-06
561,train,7363a6227e4a378b,4115,cccd69,1e-06
10471,train,bca01891f0af248e,13851,ce313a,1e-06
1386,train,08f7173753afaf14,8549,7bc5f6,1e-06
2936,train,28372ec5919ae2ea,7567,7a8a34,1e-06
9902,train,626692616d888da9,5848,93aefa,1e-06
14483,train,ed04147b731a661f,4221,b6b7d7,1e-06
10914,train,b6533366089f196f,14012,c812d5,1e-06
2559,train,709d0eb5e3caaaf6,2939,d6eedf,1e-06
7812,train,c53a52fdc605bd5f,2316,89969b,1e-06
10675,train,bf572ad24ffba711,10495,f963f1,1e-06
1758,train,faa88e2fefe02a6e,4575,dac1fa,1e-06
431,train,05c9b35443802827,4839,723bf1,1e-06
13759,train,e40aa6c6b2afa1f8,7161,c8b206,1e-06
2229,train,b91cfa253c257c4f,192,d3bc9c,1e-06
9709,train,6fbeefe7209d54eb,2715,751a2c,1e-06
11006,train,186af27c0ff89281,13287,ec7e40,1e-06
6020,train,dfb743ecc85691c9,2158,2abb82,1e-06
12179,train,c9d134ec9ff466c9,8487,0f3f2b,1e-06
10671,train,723d08990a960baf,185,9ffbe3,1e-06
9797,train,57f5e7b4ed12bb93,14530,4831fe,1e-06
3648,train,cdace80a47b334a2,8567,845b5a,1e-06
